Time,signal,IKK,IKKa,NFkB,NFkBa,IkB,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11
109.930523,1.09930523,0.194048,0.805952,0.993513,0.006487,6.177927,0.000097,2.462236,2.63267,5.337714,0.00039,0.004641,0.005655,0.000518,3.491424,0.053044,3.659942
111.075321,1.11075321,0.192008,0.807992,0.99456,0.00544,6.040438,0.000096,2.449035,2.620591,5.339201,0.00039,0.004654,0.005227,0.000518,3.491424,0.044484,3.659941
112.037064,1.12037064,0.190332,0.809668,0.995086,0.004914,5.918898,0.000096,2.438081,2.610495,5.340418,0.00039,0.004665,0.004943,0.000518,3.491424,0.040185,3.65994
113.004426,1.13004426,0.188679,0.811321,0.995367,0.004633,5.793506,0.000095,2.427184,2.600387,5.341615,0.000391,0.004675,0.004735,0.000518,3.491424,0.037888,3.659938
113.997896,1.13997896,0.187015,0.812985,0.995471,0.004529,5.663207,0.000094,2.416118,2.590057,5.342815,0.000391,0.004685,0.004589,0.000518,3.491424,0.037039,3.659937
115.028423,1.15028423,0.185322,0.814678,0.995443,0.004557,5.527757,0.000093,2.404768,2.579397,5.344031,0.000391,0.004694,0.00449,0.000518,3.491424,0.037263,3.659935
116.05895,1.1605895,0.183663,0.816337,0.995322,0.004678,5.392958,0.000093,2.393548,2.568794,5.345219,0.00039,0.004704,0.004424,0.000518,3.491424,0.038253,3.659934
117.043717,1.17043717,0.182109,0.817891,0.995144,0.004856,5.265369,0.000092,2.382943,2.558716,5.346328,0.00039,0.004712,0.004379,0.000518,3.491424,0.03971,3.659932
117.966348,1.17966348,0.180678,0.819322,0.994934,0.005066,5.147303,0.000091,2.373108,2.549321,5.347345,0.00039,0.00472,0.004346,0.000518,3.491424,0.041424,3.659931
119.02191,1.1902191,0.179072,0.820928,0.994652,0.005348,5.014349,0.00009,2.361976,2.538632,5.348484,0.00039,0.004729,0.004314,0.000518,3.491424,0.043733,3.659929
119.974061,1.19974061,0.177649,0.822351,0.994362,0.005638,4.896654,0.00009,2.352039,2.529042,5.349488,0.00039,0.004737,0.004288,0.000518,3.491424,0.046101,3.659927
120.994525,1.20994525,0.176152,0.823848,0.994017,0.005983,4.773164,0.000089,2.341499,2.518822,5.350543,0.00039,0.004745,0.004261,0.000518,3.491424,0.048924,3.659925
122.083302,1.22083302,0.174584,0.825416,0.99361,0.00639,4.644755,0.000088,2.330375,2.507981,5.351643,0.00039,0.004753,0.004232,0.000518,3.491424,0.052256,3.659923
123.050657,1.23050657,0.173217,0.826783,0.993213,0.006787,4.533854,0.000088,2.320594,2.498406,5.352599,0.00039,0.00476,0.004206,0.000518,3.491424,0.055497,3.659921
124.018012,1.24018012,0.171873,0.828127,0.992784,0.007216,4.426219,0.000087,2.310909,2.488885,5.353537,0.00039,0.004767,0.004178,0.000518,3.491424,0.059008,3.659919
124.920082,1.24920082,0.17064,0.82936,0.992353,0.007647,4.329025,0.000087,2.301961,2.480054,5.354395,0.00039,0.004774,0.004151,0.000518,3.491424,0.062531,3.659917
125.822152,1.25822152,0.169425,0.830575,0.991892,0.008108,4.235121,0.000086,2.293092,2.471269,5.355237,0.00039,0.00478,0.004123,0.000518,3.491424,0.066299,3.659916
127.023407,1.27023407,0.167837,0.832163,0.991231,0.008769,4.115566,0.000085,2.281403,2.459644,5.356336,0.00039,0.004788,0.004086,0.000519,3.491424,0.071707,3.659913
128.148737,1.28148737,0.166378,0.833622,0.990562,0.009438,4.009698,0.000085,2.270576,2.448828,5.357342,0.000389,0.004795,0.00405,0.000519,3.491424,0.077182,3.659911
128.898957,1.28898957,0.16542,0.83458,0.990088,0.009912,3.94264,0.000084,2.263422,2.441657,5.358,0.000389,0.0048,0.004026,0.000519,3.491424,0.081051,3.659909
130.202958,1.30202958,0.163783,0.836217,0.989215,0.010785,3.833226,0.000083,2.251109,2.429271,5.359123,0.000389,0.004808,0.003984,0.000519,3.491424,0.088191,3.659907
131.072292,1.31072292,0.162711,0.837289,0.988598,0.011402,3.765602,0.000083,2.242984,2.421067,5.359856,0.000389,0.004813,0.003958,0.000519,3.491424,0.093235,3.659905
131.941627,1.31941627,0.161654,0.838346,0.987955,0.012045,3.702461,0.000082,2.234924,2.412907,5.360577,0.000389,0.004818,0.003933,0.000519,3.491424,0.098498,3.659904
133.037836,1.33037836,0.160341,0.839659,0.987107,0.012893,3.629518,0.000082,2.224854,2.402678,5.36147,0.000389,0.004824,0.003903,0.000519,3.491424,0.105429,3.659902
134.134045,1.34134045,0.159051,0.840949,0.986223,0.013777,3.564341,0.000081,2.214884,2.392518,5.362346,0.000389,0.00483,0.003877,0.000519,3.491424,0.112659,3.6599
135.230255,1.35230255,0.157783,0.842217,0.985307,0.014693,3.507241,0.000081,2.205012,2.382426,5.363204,0.000388,0.004835,0.003856,0.000519,3.491424,0.120154,3.659898
135.778359,1.35778359,0.157157,0.842843,0.984838,0.015162,3.481805,0.00008,2.200113,2.377406,5.363627,0.000388,0.004838,0.003846,0.000519,3.491424,0.123988,3.659897
136.900753,1.36900753,0.155892,0.844108,0.98386,0.01614,3.436347,0.00008,2.190156,2.367178,5.36448,0.000388,0.004844,0.003832,0.000519,3.491424,0.131986,3.659896
138.023146,1.38023146,0.154647,0.845353,0.982863,0.017137,3.399957,0.000079,2.180298,2.357021,5.365316,0.000388,0.004849,0.003824,0.000519,3.491424,0.140134,3.659895
139.14554,1.3914554,0.153424,0.846576,0.981856,0.018144,3.372769,0.000079,2.170536,2.346935,5.366137,0.000388,0.004854,0.003823,0.000519,3.491424,0.14837,3.659894
140.267933,1.40267933,0.152221,0.847779,0.980846,0.019154,3.354845,0.000078,2.16087,2.336919,5.366941,0.000387,0.00486,0.00383,0.000519,3.491424,0.156627,3.659894
141.198997,1.41198997,0.151237,0.848763,0.980013,0.019987,3.346995,0.000078,2.152923,2.328663,5.367597,0.000387,0.004864,0.003841,0.000519,3.491424,0.163441,3.659893
142.130061,1.42130061,0.150267,0.849733,0.979189,0.020811,3.345457,0.000077,2.145039,2.320456,5.368243,0.000387,0.004868,0.003858,0.000519,3.491424,0.170177,3.659893
143.061125,1.43061125,0.14931,0.85069,0.97838,0.02162,3.350138,0.000077,2.137217,2.312296,5.368879,0.000387,0.004872,0.00388,0.000519,3.491424,0.176794,3.659893
144.009694,1.44009694,0.148349,0.851651,0.977576,0.022424,3.361166,0.000076,2.129312,2.304032,5.369517,0.000387,0.004876,0.003909,0.000519,3.491424,0.183366,3.659894
144.975768,1.44975768,0.147382,0.852618,0.976785,0.023215,3.378703,0.000076,2.121326,2.295666,5.370157,0.000387,0.00488,0.003944,0.000519,3.491424,0.189838,3.659894
146.171026,1.46171026,0.146205,0.853795,0.975852,0.024148,3.408847,0.000075,2.111534,2.285385,5.370934,0.000386,0.004885,0.003996,0.000519,3.491424,0.197466,3.659895
146.967865,1.46967865,0.14543,0.85457,0.975264,0.024736,3.433884,0.000075,2.10506,2.278574,5.371445,0.000386,0.004889,0.004035,0.000519,3.491424,0.202279,3.659896
148.093967,1.48093967,0.144351,0.855649,0.974484,0.025516,3.475593,0.000074,2.095983,2.269007,5.372155,0.000386,0.004893,0.004097,0.000519,3.491424,0.208655,3.659897
149.081757,1.49081757,0.143417,0.856583,0.973856,0.026144,3.517856,0.000074,2.08809,2.26067,5.372767,0.000386,0.004897,0.004156,0.000519,3.491424,0.213791,3.659898
150.116309,1.50116309,0.142453,0.857547,0.973259,0.026741,3.567307,0.000073,2.079891,2.251995,5.373399,0.000386,0.004902,0.004224,0.000519,3.491424,0.218668,3.6599
150.868362,1.50868362,0.14176,0.85824,0.972868,0.027132,3.606276,0.000073,2.073974,2.245724,5.373852,0.000386,0.004905,0.004276,0.000519,3.491424,0.221868,3.659901
